source,target,weight
photograph,barco,2
barco,photograph,2
miss,time,2
anoth,murder,2
attempt,suicid,2
suicid,attempt,2
look,like,6
murder,anoth,2
case,dream,2
dream,case,2
inde,seem,4
anyon,could,2
remain,enough,2
presid,forum,2
forum,presid,2
thing,say,2
open,door,4
start,start,2
didnt,even,4
met,fran,2
fran,met,2
success,terribl,2
terribl,success,2
peopl,thing,2
right,thing,4
room,luncheon,2
luncheon,room,2
room,dine,2
dine,room,2
room,sit,2
sit,room,2
room,room,2
room,dress,2
dress,room,2
color,color,2
room,paint,2
paint,paint,2
paint,room,2
block,block,2
thing,right,2
seem,inde,2
mean,quietli,2
quietli,mean,2
thing,peopl,2
person,person,4
nice,import,2
import,import,2
import,nice,2
kafka,opinion,2
opinion,kafka,2
kafka,read,2
read,kafka,2
tri,prove,2
prove,tri,2
everi,day,2
day,last,2
put,garlic,2
garlic,put,2
would,even,2
new,republ,2
republ,new,2
even,go,2
best,work,2
time,miss,2
letch,made,4
made,letch,2
work,best,2
postpon,postpon,4
work,day,2
like,look,2
enough,remain,2
night,last,2
wonder,wonder,2
last,day,2
one,world,2
would,never,2
even,would,2
day,everi,2
thing,done,6
go,even,2
polish,polish,2
done,thing,2
minut,four,2
would,go,2
go,would,2
world,one,2
could,anyon,2
day,work,4
never,could,4
tell,go,2
say,thing,2
said,said,4
said,jane,2
jane,said,2
said,never,2
never,said,2
make,statement,2
last,night,4
gag,vaudevil,2
leg,name,2
name,leg,2
vaudevil,gag,4
reader,reader,2
moment,thought,2
someth,someth,2
good,good,2
one,person,2
thought,moment,2
far,fli,2
breath,even,2
like,go,2
music,comedi,4
comedi,music,2
nonfict,non,2
non,nonfict,2
would,say,2
court,law,2
harder,harder,2
law,court,2
furious,furious,2
one,say,2
two,day,2
say,one,2
funni,hous,2
hous,funni,2
say,would,2
human,save,2
save,human,2
fli,far,2
time,everi,2
everi,time,2
day,two,2
arlen,said,8
advis,arlen,2
said,arlen,4
ask,one,2
would,sometim,2
bottom,sag,2
go,like,2
sag,bottom,2
even,breath,2
wink,smile,2
smile,enorm,2
enorm,smile,2
never,would,2
smile,wink,2
long,long,2
go,tell,2
even,didnt,2
arlen,advis,2
smile,smile,2
door,open,2
lip,lift,2
lift,lip,2
radish,found,2
found,radish,2
knew,knew,2
could,never,2
person,one,2
hubba,hubba,2
pip,pip,2
four,minut,2
love,love,2
statement,make,2
one,ask,2
sometim,would,2
