,id
0,photograph
1,barco
2,miss
3,anoth
4,attempt
5,suicid
6,look
7,murder
8,case
9,dream
10,inde
11,anyon
12,remain
13,presid
14,forum
15,thing
16,open
17,start
18,didnt
19,met
20,fran
21,success
22,terribl
23,peopl
24,right
25,room
26,luncheon
27,room
28,dine
29,room
30,sit
31,room
32,room
33,dress
34,color
35,room
36,paint
37,paint
38,block
39,thing
40,seem
41,mean
42,quietli
43,thing
44,person
45,nice
46,import
47,import
48,kafka
49,opinion
50,kafka
51,read
52,tri
53,prove
54,everi
55,day
56,put
57,garlic
58,would
59,new
60,republ
61,even
62,best
63,time
64,letch
65,made
66,work
67,postpon
68,work
69,like
70,enough
71,night
72,wonder
73,last
74,one
75,would
76,even
77,day
78,thing
79,go
80,polish
81,done
82,minut
83,would
84,go
85,world
86,could
87,day
88,never
89,tell
90,say
91,said
92,said
93,jane
94,said
95,never
96,make
97,last
98,gag
99,leg
100,name
101,vaudevil
102,reader
103,moment
104,someth
105,good
106,one
107,thought
108,far
109,breath
110,like
111,music
112,comedi
113,nonfict
114,non
115,would
116,court
117,harder
118,law
119,furious
120,one
121,two
122,say
123,funni
124,hous
125,say
126,human
127,save
128,fli
129,time
130,everi
131,day
132,arlen
133,advis
134,said
135,ask
136,would
137,bottom
138,go
139,sag
140,even
141,wink
142,smile
143,enorm
144,never
145,smile
146,long
147,go
148,even
149,arlen
150,smile
151,door
152,lip
153,lift
154,radish
155,found
156,knew
157,could
158,person
159,hubba
160,pip
161,four
162,love
163,statement
164,one
165,sometim
